,지수,GDP,고용,고용,고용,고용,소비,소비,소비,산업 및 생산,산업 및 생산,산업 및 생산,산업 및 생산,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,금융,금융,금융,금융,해외,해외,해외,부채 및 연준,부채 및 연준,부채 및 연준,부채 및 연준,금리
날짜,S&P 500 지수,실질 국내총생산,비농업 취업자 수,실업률,월별 시간당 임금,주당 실업수당 신청건수,소매판매,미시간 소비자 심리지수,개인 소득,산업생산,설비가동률,기업재고,ISM 제조업 PMI,주택 건설허가건수,Case-Shiller 주택가격지수,NAHB 주택시장지수,MBA 구매지수,MBA 재융자지수,장단기 금리 (10년-3개월),M2 통화승수,M2 통화속도,은행 지급준비금,수입,수출,순수출,가계부채/GDP,비금융 기업부채/GDP,정부부채/GDP,연준 자산/GDP,기준금리
2013년 01월,"1,498.11",1.70%,1.51%,8.0%,2.06%,353.00K,4.36%,73.8,1.83%,1.45%,76.75%,6.14%,53.3,32.02%,6.9,46,4.05,-2.83,1.95%,3.83K,1.58,1.64K,-1.32%,3.01%,-17.09%,82,43.08K,100.74%,18.07,0.14%
2013년 02월,"1,514.68",,1.53%,7.7%,2.15%,353.00K,4.28%,77.6,1.24%,1.59%,77.00%,5.41%,54.2,32.79%,8.1,44,9.92,29.02,1.78%,3.7K,,1.73K,,,,,,,,0.15%
2013년 03월,"1,569.19",,1.45%,7.5%,1.88%,351.80K,3.18%,78.6,0.97%,2.53%,77.21%,5%,51.9,16.13%,9.3,41,17.85,26.45,1.80%,3.61K,,1.81K,,,,,,,,0.14%
2013년 04월,"1,597.57",1.52%,1.53%,7.6%,2.05%,347.25K,3.1%,76.4,0.77%,1.71%,77.06%,4.7%,51,38.25%,10.7,44,13.47,-15.16,1.65%,3.52K,1.57,1.88K,-0.76%,2.07%,-11.83%,82.13,43.69K,100.06%,19.84,0.15%
2013년 05월,"1,630.74",,1.62%,7.5%,2.05%,347.75K,3.91%,84.5,1.46%,1.56%,77.03%,4.17%,50.8,26.01%,12,51,15.86,-38.41,2.12%,3.42K,,1.98K,,,,,,,,0.11%
2013년 06월,"1,606.28",,1.69%,7.5%,2.13%,344.60K,5.16%,84.1,1.78%,1.76%,77.11%,3.96%,51.1,18.64%,12.1,56,2.95,-58.47,2.48%,3.34K,,2.06K,,,,,,,,0.09%
2013년 07월,"1,685.73",2.24%,1.67%,7.3%,2.09%,346.00K,5.28%,85.1,2.32%,1.24%,76.80%,3.39%,53.8,17.43%,12,58,5.28,-56.93,2.56%,3.26K,1.57,2.15K,0.59%,2.58%,-7.84%,82.46,44.12K,98.73%,21.07,0.09%
2013년 08월,"1,632.97",,1.72%,7.2%,2.3%,333.40K,3.84%,82.1,2.53%,2.26%,77.18%,3.52%,54,14.76%,12.3,57,7.27,-61.61,2.75%,3.18K,,2.25K,,,,,,,,0.08%
2013년 09월,"1,681.55",,1.71%,7.2%,2.08%,314.00K,3.11%,77.5,1.92%,2.85%,77.50%,3.29%,54.6,7.96%,12.8,54,-0.38,-50.48,2.62%,3.12K,,2.33K,,,,,,,,0.08%
2013년 10월,"1,756.54",3.01%,1.76%,7.2%,2.25%,358.50K,3.5%,73.2,0.73%,2.42%,77.38%,3.86%,54.6,17.70%,10.83%,54,-6.74,-57.54,2.53%,3.06K,1.56,2.43K,1.09%,4.99%,-15.87%,83.46,44.12K,99.79%,22.36,0.09%
2013년 11월,"1,805.81",,1.85%,6.9%,2.24%,328.20K,3.22%,75.1,-0.15%,2.28%,77.50%,4.09%,55.5,12.21%,13.6,57,-14.85,-68.04,2.69%,2.98K,,2.52K,,,,,,,,0.08%
